tps_code_census,tsp_name_census,tsp_code_mimu,tsp_name_mimu,state_region,tsp_type
AREA # 140251,Ahmar(ST),MMR017023,Pyapon,Ayeyarwady,Sub
AREA # 140301,Nyaungdon,MMR017021,Nyaungdon,Ayeyarwady,Main
AREA # 140302,Danubyu,MMR017022,Danubyu,Ayeyarwady,Main
AREA # 140303,Pantanaw,MMR017020,Pantanaw,Ayeyarwady,Main
AREA # 140304,Maubin,MMR017019,Maubin,Ayeyarwady,Main
AREA # 140401,Myaungmya,MMR017014,Myaungmya,Ayeyarwady,Main
AREA # 140402,Wakema,MMR017017,Wakema,Ayeyarwady,Main
AREA # 140403,Einme,MMR017015,Einme,Ayeyarwady,Main
AREA # 140501,Mawlamyinegyun,MMR017018,Mawlamyinegyun,Ayeyarwady,Main
AREA # 140502,Labutta,MMR017016,Labutta,Ayeyarwady,Main
AREA # 140551,Pyinsalu(ST),MMR017016,Labutta,Ayeyarwady,Sub
AREA # 140601,Kyangin,MMR017012,Kyangin,Ayeyarwady,Main
AREA # 140602,Zalun,MMR017009,Zalun,Ayeyarwady,Main
AREA # 140603,Myanaung,MMR017011,Myanaung,Ayeyarwady,Main
AREA # 140604,Laymyethna,MMR017010,Lemyethna,Ayeyarwady,Main
AREA # 140605,Hinthada,MMR017008,Hinthada,Ayeyarwady,Main
AREA # 140606,Ingapu,MMR017013,Ingapu,Ayeyarwady,Main
AREA # 150101,Tatkon,MMR018003,Tatkon,Nay Pyi Taw,main
AREA # 150102,Zeyarthiri,MMR018001,Zay Yar Thi Ri,Nay Pyi Taw,main
AREA # 150103,Ottarathiri,MMR018008,Oke Ta Ra Thi Ri ,Nay Pyi Taw,main
AREA # 150104,Pobbathiri,MMR018005,Poke Ba Thi Ri,Nay Pyi Taw,main
AREA # 150201,Pyinmana,MMR018006,Pyinmana,Nay Pyi Taw,main
AREA # 150202,Lewe,MMR018007,Lewe,Nay Pyi Taw,main
AREA # 150203,Zabuthiri,MMR018002,Za Bu Thi Ri,Nay Pyi Taw,main
AREA # 150204,Dekkhinathiri,MMR018004,Det Khi Na Thi Ri,Nay Pyi Taw,main
