tps_code_census,tsp_name_census,tsp_code_mimu,tsp_name_mimu,state_region,tsp_type
AREA # 100101,Mawlamyine,MMR011001,Mawlamyine,Mon,main
AREA # 100102,Kyaikemaraw,MMR011002,Kyaikmaraw,Mon,main
AREA # 100103,Chaungzon,MMR011003,Chaungzon,Mon,main
AREA # 100104,Thanbyuzayat,MMR011004,Thanbyuzayat,Mon,main
AREA # 100105,Mudon,MMR011005,Mudon,Mon,main
AREA # 100106,Ye,MMR011006,Ye,Mon,main
AREA # 100151,Lamine,MMR011006,Ye,Mon,sub
AREA # 100152,Khawzar,MMR011006,Ye,Mon,sub
AREA # 100201,Thaton,MMR011007,Thaton,Mon,main
AREA # 100202,Paung,MMR011008,Paung,Mon,main
AREA # 100203,Kyaikto,MMR011009,Kyaikto,Mon,main
AREA # 100204,Bilin,MMR011010,Bilin,Mon,main
AREA # 110101,Sittway,MMR012001,Sittwe,Rakhine,main
AREA # 110102,Ponnagyun,MMR012002,Ponnagyun,Rakhine,main
AREA # 110103,Pauktaw,MMR012007,Pauktaw,Rakhine,main
AREA # 110104,Yethedaung,MMR012008,Rathedaung,Rakhine,main
AREA # 110201,Myauk U,MMR012003,Mrauk-U,Rakhine,main
AREA # 110202,Kyauktaw,MMR012004,Kyauktaw,Rakhine,main
AREA # 110203,Minbya,MMR012005,Minbya,Rakhine,main
AREA # 110204,Myebon,MMR012006,Myebon,Rakhine,main
AREA # 110301,Maungtaw,MMR012009,Maungdaw,Rakhine,main
AREA # 110302,Buthidaung,MMR012010,Buthidaung,Rakhine,main
AREA # 110351,Taungpyoletwe(ST),MMR012009,Maungdaw,Rakhine,sub
AREA # 110401,Kyaukpyu,MMR012011,Kyaukpyu,Rakhine,main
AREA # 110402,Mannaung,MMR017011,Myanaung,Rakhine,main
AREA # 110403,Yanbye,MMR012013,Ramree,Rakhine,main
AREA # 110404,An,MMR012014,Ann,Rakhine,main
AREA # 110501,Thandwe,MMR012015,Thandwe,Rakhine,main
AREA # 110502,Toungup,MMR012016,Toungup,Rakhine,main
AREA # 110503,Gwa,MMR012017,Gwa,Rakhine,main
AREA # 110551,Maei(ST),MMR012016,Toungup,Rakhine,sub
AREA # 110552,Kyeintali(ST),MMR012017,Gwa,Rakhine,sub
AREA # 120101,Insein,MMR013001,Insein,Yangon,main
AREA # 120102,Mingaladon,MMR013002,Mingaladon,Yangon,main
AREA # 120103,Hmawby,MMR013003,Hmawbi,Yangon,main
AREA # 120104,Hlegu,MMR013004,Hlegu,Yangon,main
AREA # 120105,Taikkyi,MMR013005,Taikkyi,Yangon,main
AREA # 120106,Htantabin,MMR013006,Htantabin,Yangon,main
AREA # 120107,Shwepyitha,MMR013007,Shwepyithar,Yangon,main
AREA # 120108,Hlinethaya,MMR013008,Hlaingtharya,Yangon,main
AREA # 120201,Thingangyun,MMR013009,Thingangyun,Yangon,main
AREA # 120202,Yankin,MMR013010,Yankin,Yangon,main
AREA # 120203,South Okkalapa,MMR013011,South Okkalapa,Yangon,main
AREA # 120204,North Okkalapa,MMR013012,North Okkalapa,Yangon,main
AREA # 120205,Thakayta,MMR013013,Thaketa,Yangon,main
AREA # 120206,Dawbon,MMR013014,Dawbon,Yangon,main
AREA # 120207,Tamway,MMR013015,Tamwe,Yangon,main
AREA # 120208,Pazuntaung,MMR013016,Pazundaung,Yangon,main
AREA # 120209,Botahtaung,MMR013017,Botahtaung,Yangon,main
AREA # 120210,Dagon Myothit(South),MMR013018,Dagon Myothit (South),Yangon,main
AREA # 120211,Dagon Myothit(North),MMR013019,Dagon Myothit (North),Yangon,main
AREA # 120212,Dagon Myothit(East),MMR013020,Dagon Myothit (East),Yangon,main
AREA # 120213,Dagon Myothit(Seik),MMR013021,Dagon Myothit (Seikkan),Yangon,main
AREA # 120214,Mingala Taungnyunt,MMR013022,Mingalartaungnyunt,Yangon,main
AREA # 120301,Thanlyin,MMR013023,Thanlyin,Yangon,main
AREA # 120302,Kyauktan,MMR013024,Kyauktan,Yangon,main
AREA # 120303,Thongwa,MMR013025,Thongwa,Yangon,main
AREA # 120304,Khayan,MMR013026,Kayan,Yangon,main
AREA # 120305,Twantay,MMR013027,Twantay,Yangon,main
AREA # 120306,Kawhmu,MMR013028,Kawhmu,Yangon,main
AREA # 120307,Kungyangon,MMR013029,Kungyangon,Yangon,main
AREA # 120308,Dala,MMR013030,Dala,Yangon,main
AREA # 120309,Seikkyi/Khanaungto,MMR013031,Seikgyikanaungto,Yangon,main
AREA # 120310,Cocogyun,MMR013032,Cocokyun,Yangon,main
AREA # 120351,Tada(ST),MMR013024,Kyauktan,Yangon,sub
AREA # 120401,Kyauktada,MMR013033,Kyauktada,Yangon,main
AREA # 120402,Pabedan,MMR013034,Pabedan,Yangon,main
AREA # 120403,Lanmadaw,MMR013035,Lanmadaw,Yangon,main
AREA # 120404,Latha,MMR013036,Latha,Yangon,main
AREA # 120405,Ahlon,MMR013037,Ahlone,Yangon,main
AREA # 120406,Kyimyindine,MMR013038,Kyeemyindaing,Yangon,main
AREA # 120407,Sangyoung,MMR013039,Sanchaung,Yangon,main
AREA # 120408,Hline,MMR013040,Hlaing,Yangon,main
AREA # 120409,Kamayut,MMR013041,Kamaryut,Yangon,main
AREA # 120410,Mayangon,MMR013042,Mayangone,Yangon,main
AREA # 120411,Dagon,MMR013043,Dagon,Yangon,main
AREA # 120412,Bahan,MMR013044,Bahan,Yangon,main
AREA # 120413,Seikkan,MMR013045,Seikkan,Yangon,main
AREA # 130101,Taunggyi,MMR014001,Taunggyi,Shan (south),main
AREA # 130102,Nyaungshwe,MMR014002,Nyaungshwe,Shan (south),main
AREA # 130103,Hopon,MMR014003,Hopong,Shan (south),main
AREA # 130104,Hsihseng,MMR014004,Hsihseng,Shan (south),main
AREA # 130105,Kalaw,MMR014005,Kalaw,Shan (south),main
AREA # 130106,Pindaya,MMR014006,Pindaya,Shan (south),main
AREA # 130107,Ywarngan,MMR014007,Ywangan,Shan (south),main
AREA # 130108,Yatsauk,MMR014008,Lawksawk,Shan (south),main
