Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,458,1006.0,1336,1376,1338,1380,1392,1611,1521,1288,1212,964,859,1068,617,602,454,491,489,455,638,440,463,489,405,643,416,509,483,372,564,312,361,405,335,519,347,539,524,424,736,491,458,491,366,532,372,430,474,390,546,364,290,298,262,448,230,258,273,211,322,186,203,179,130,219,70,99,105,86,211,118,94,102,48,91,42,55,42,50,50,21,17,21,13,39,39638,Yethedaung,MMR012008
 Illiterate,946,441.0,205,132,96,74,42,52,70,61,73,44,38,84,32,48,40,30,31,32,59,37,42,41,31,50,30,32,42,18,45,32,30,42,25,37,24,22,33,26,60,38,20,38,28,51,21,31,41,21,28,27,23,23,23,32,14,19,19,18,28,9,10,15,6,27,8,13,4,14,27,13,12,18,9,21,13,6,9,8,6,8,9,7,3,13,4160,Yethedaung,MMR012008
 Total,1404,1447.0,1541,1508,1434,1454,1434,1663,1591,1349,1285,1008,897,1152,649,650,494,521,520,487,697,477,505,530,436,693,446,541,525,390,609,344,391,447,360,556,371,561,557,450,796,529,478,529,394,583,393,461,515,411,574,391,313,321,285,480,244,277,292,229,350,195,213,194,136,246,78,112,109,100,238,131,106,120,57,112,55,61,51,58,56,29,26,28,16,52,43798,Yethedaung,MMR012008
