Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,170,507.0,692,933,864,1105,814,1046,954,829,884,880,759,1059,613,1076,531,674,622,527,879,544,557,592,457,1097,403,444,409,369,784,425,388,436,290,771,320,381,398,315,642,311,242,310,217,705,250,261,284,228,396,279,193,186,87,389,107,104,102,90,176,83,76,45,40,147,37,29,43,34,68,29,15,33,5,48,8,6,12,7,10,11,3,7,6,23,32182,Tantyan,MMR015004
 Illiterate,1908,1464.0,1212,1267,768,1116,578,760,624,552,810,531,482,768,417,1022,383,478,461,414,1132,434,427,555,397,1552,388,389,342,317,1145,417,374,435,301,1325,311,355,337,282,993,320,280,310,226,1273,272,292,314,243,615,290,207,178,137,942,147,123,151,115,374,114,124,86,62,419,46,55,63,39,148,48,25,51,27,172,19,21,21,22,44,13,12,11,7,73,36754,Tantyan,MMR015004
 Total,2078,1971.0,1904,2200,1632,2221,1392,1806,1578,1381,1694,1411,1241,1827,1030,2098,914,1152,1083,941,2011,978,984,1147,854,2649,791,833,751,686,1929,842,762,871,591,2096,631,736,735,597,1635,631,522,620,443,1978,522,553,598,471,1011,569,400,364,224,1331,254,227,253,205,550,197,200,131,102,566,83,84,106,73,216,77,40,84,32,220,27,27,33,29,54,24,15,18,13,96,68936,Tantyan,MMR015004
