Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,1039,2602.0,2903,2839,2847,2979,2738,2992,3193,2967,2883,2563,2631,2663,2324,2703,2302,2241,2149,1948,2372,2052,2132,2335,2107,2703,2100,2252,2318,1882,2523,1926,1918,2098,1908,2104,1687,2129,1840,1750,2261,1921,1724,1800,1596,1992,1688,1751,1878,1535,1867,1519,1418,1413,1184,1606,1023,997,1046,941,979,699,666,503,438,655,380,518,497,502,718,420,415,428,273,447,275,277,274,196,226,170,105,97,59,216,135235,Hinthada,MMR017008
 Illiterate,1866,328.0,130,89,68,59,49,64,63,72,60,57,53,54,47,68,37,46,54,51,64,62,46,58,53,66,43,47,72,46,88,53,51,56,56,42,22,51,30,22,50,37,30,37,31,47,21,24,35,22,41,29,14,20,21,32,30,25,18,26,31,14,19,9,9,22,9,13,12,21,33,21,15,19,11,14,11,26,12,15,8,8,4,4,1,17,5311,Hinthada,MMR017008
 Total,2905,2930.0,3033,2928,2915,3038,2787,3056,3256,3039,2943,2620,2684,2717,2371,2771,2339,2287,2203,1999,2436,2114,2178,2393,2160,2769,2143,2299,2390,1928,2611,1979,1969,2154,1964,2146,1709,2180,1870,1772,2311,1958,1754,1837,1627,2039,1709,1775,1913,1557,1908,1548,1432,1433,1205,1638,1053,1022,1064,967,1010,713,685,512,447,677,389,531,509,523,751,441,430,447,284,461,286,303,286,211,234,178,109,101,60,233,140546,Hinthada,MMR017008
