Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,118,329.0,402,422,398,448,393,403,437,336,352,318,350,331,255,317,248,261,224,201,255,212,209,237,236,341,212,224,222,197,273,216,186,229,170,280,157,240,219,155,231,195,151,191,149,254,146,171,176,171,163,159,127,122,89,161,77,93,74,96,114,59,56,45,33,59,29,39,31,33,37,28,16,18,16,14,9,15,8,5,6,4,2,1,1,5,14692,Namtu,MMR015015
 Illiterate,444,245.0,113,78,56,61,30,63,56,49,51,59,79,99,43,126,59,55,77,61,133,68,74,113,63,227,55,75,74,56,163,72,65,87,45,177,44,73,70,45,169,77,61,66,55,187,39,80,69,61,91,73,52,54,44,139,24,33,38,34,53,28,24,18,15,53,11,24,10,18,22,14,6,12,5,13,8,11,9,4,7,4,1,3,2,18,5522,Namtu,MMR015015
 Total,562,574.0,515,500,454,509,423,466,493,385,403,377,429,430,298,443,307,316,301,262,388,280,283,350,299,568,267,299,296,253,436,288,251,316,215,457,201,313,289,200,400,272,212,257,204,441,185,251,245,232,254,232,179,176,133,300,101,126,112,130,167,87,80,63,48,112,40,63,41,51,59,42,22,30,21,27,17,26,17,9,13,8,3,4,3,23,20214,Namtu,MMR015015
