Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,448,1127.0,1295,1178,1232,1369,1248,1406,1371,1256,1105,956,991,993,777,828,631,692,746,646,787,655,707,784,652,870,595,696,639,612,841,605,667,725,614,774,506,787,605,647,813,569,544,564,477,691,419,457,443,388,533,426,335,336,261,416,206,237,237,209,287,172,175,152,104,176,94,97,119,89,201,84,66,77,24,92,26,49,32,42,48,27,18,15,10,27,44927,Htantapin,MMR007014
 Illiterate,797,142.0,71,57,25,26,14,28,23,30,24,38,40,36,22,39,22,27,26,15,30,19,26,28,20,51,18,34,35,30,58,33,33,35,25,60,26,35,52,22,66,37,36,23,29,61,32,24,22,24,41,21,18,18,13,42,7,18,13,14,36,13,18,12,7,29,5,15,21,14,33,14,8,9,10,22,8,10,4,10,10,4,2,5,1,8,3059,Htantapin,MMR007014
 Total,1245,1269.0,1366,1235,1257,1395,1262,1434,1394,1286,1129,994,1031,1029,799,867,653,719,772,661,817,674,733,812,672,921,613,730,674,642,899,638,700,760,639,834,532,822,657,669,879,606,580,587,506,752,451,481,465,412,574,447,353,354,274,458,213,255,250,223,323,185,193,164,111,205,99,112,140,103,234,98,74,86,34,114,34,59,36,52,58,31,20,20,11,35,47986,Htantapin,MMR007014
