Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,373,990.0,1189,1163,1122,1186,1076,1200,1213,1083,1120,975,1028,1183,1080,1325,1104,1214,1113,1040,1316,1062,1118,1199,1098,1414,988,1099,1073,1011,1228,881,956,1056,833,1055,756,975,910,773,958,733,773,698,658,778,585,659,666,563,780,553,532,469,427,591,366,406,425,354,405,306,280,205,145,255,150,150,137,99,216,115,93,89,68,86,56,41,53,41,44,18,21,17,9,51,57702,Singaing,MMR010014
 Illiterate,934,219.0,69,41,32,28,16,15,20,13,20,22,18,22,17,23,11,14,14,10,22,11,17,15,10,24,13,13,19,17,24,15,20,19,10,28,10,19,10,15,14,11,9,12,5,12,10,9,12,4,13,9,7,5,6,15,7,5,6,6,3,8,4,2,2,8,2,6,4,3,3,4,2,1,-,3,1,3,3,2,3,2,2,-,1,2,2140,Singaing,MMR010014
 Total,1307,1209.0,1258,1204,1154,1214,1092,1215,1233,1096,1140,997,1046,1205,1097,1348,1115,1228,1127,1050,1338,1073,1135,1214,1108,1438,1001,1112,1092,1028,1252,896,976,1075,843,1083,766,994,920,788,972,744,782,710,663,790,595,668,678,567,793,562,539,474,433,606,373,411,431,360,408,314,284,207,147,263,152,156,141,102,219,119,95,90,68,89,57,44,56,43,47,20,23,17,10,53,59842,Singaing,MMR010014
