Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,31,69.0,74,75,83,66,72,65,73,69,64,69,67,85,59,72,67,63,63,55,56,48,48,65,50,65,61,46,46,48,60,47,39,39,41,47,46,38,36,27,44,33,33,30,28,35,18,31,21,23,18,25,16,14,10,26,10,14,8,9,9,5,3,3,1,7,-,3,3,3,4,4,1,-,1,1,1,2,1,1,1,1,1,-,-,3,2799,Bawlakhe,MMR002005
 Illiterate,34,7.0,4,4,4,1,-,2,-,2,2,4,2,5,3,4,3,4,1,2,3,5,2,3,4,6,4,4,1,4,4,1,4,4,1,4,3,5,-,2,6,5,1,6,7,9,4,3,6,3,4,2,3,3,2,4,2,3,1,2,4,2,-,1,1,4,1,2,-,3,2,1,-,1,3,1,-,-,3,-,5,-,-,-,-,4,266,Bawlakhe,MMR002005
 Total,65,76.0,78,79,87,67,72,67,73,71,66,73,69,90,62,76,70,67,64,57,59,53,50,68,54,71,65,50,47,52,64,48,43,43,42,51,49,43,36,29,50,38,34,36,35,44,22,34,27,26,22,27,19,17,12,30,12,17,9,11,13,7,3,4,2,11,1,5,3,6,6,5,1,1,4,2,1,2,4,1,6,1,1,-,-,7,3065,Bawlakhe,MMR002005
