Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,79,176.0,237,212,252,248,240,247,270,227,184,190,173,191,165,198,138,139,153,111,131,136,139,145,101,134,107,104,113,110,113,97,90,102,91,102,96,87,106,85,100,77,80,94,62,74,58,77,73,75,59,57,53,57,29,54,26,33,37,36,23,30,17,14,4,15,6,16,11,8,18,8,3,14,4,3,4,2,6,1,3,5,5,1,-,5,7456,Myitta(ST),MMR006001
 Illiterate,190,95.0,44,27,31,17,14,9,16,10,12,12,12,12,9,16,12,14,17,7,9,8,16,11,18,16,13,13,9,12,21,13,10,14,11,17,11,8,13,8,13,10,11,15,9,19,6,15,14,12,13,8,8,11,2,10,6,2,5,2,13,3,4,6,-,4,-,2,1,2,5,3,1,1,-,4,1,-,2,-,2,-,3,-,1,1,1077,Myitta(ST),MMR006001
 Total,269,271.0,281,239,283,265,254,256,286,237,196,202,185,203,174,214,150,153,170,118,140,144,155,156,119,150,120,117,122,122,134,110,100,116,102,119,107,95,119,93,113,87,91,109,71,93,64,92,87,87,72,65,61,68,31,64,32,35,42,38,36,33,21,20,4,19,6,18,12,10,23,11,4,15,4,7,5,2,8,1,5,5,8,1,1,6,8533,Myitta(ST),MMR006001
