Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,82,251.0,361,368,338,363,372,367,417,353,352,293,322,305,275,353,254,289,273,260,293,225,285,331,296,367,303,316,263,255,320,225,213,287,239,286,214,282,231,232,266,210,186,231,194,242,177,203,195,192,209,146,126,127,100,167,80,93,90,85,110,53,51,46,22,57,24,38,32,25,50,24,26,21,11,22,17,14,8,18,19,6,9,2,5,15,15755,Ngwehsaung(ST),MMR017001
 Illiterate,344,133.0,71,43,26,30,30,23,29,17,26,16,29,12,14,31,13,12,16,10,24,15,24,27,12,26,14,27,24,25,31,23,21,28,13,17,9,18,19,13,17,10,15,19,14,27,10,18,9,18,18,18,8,10,4,22,11,8,4,10,19,5,8,6,2,13,3,6,9,7,10,6,6,2,2,7,1,2,2,5,4,2,1,-,-,3,1736,Ngwehsaung(ST),MMR017001
 Total,426,384.0,432,411,364,393,402,390,446,370,378,309,351,317,289,384,267,301,289,270,317,240,309,358,308,393,317,343,287,280,351,248,234,315,252,303,223,300,250,245,283,220,201,250,208,269,187,221,204,210,227,164,134,137,104,189,91,101,94,95,129,58,59,52,24,70,27,44,41,32,60,30,32,23,13,29,18,16,10,23,23,8,10,2,5,18,17491,Ngwehsaung(ST),MMR017001
