Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,499,1237.0,1467,1501,1484,1531,1441,1593,1663,1506,1538,1387,1273,1274,1094,1296,965,1078,1103,980,1233,974,1106,1156,1057,1325,1095,1127,1171,897,1241,931,997,1176,959,1193,751,1143,1034,901,1043,892,866,853,748,823,661,694,730,561,727,613,558,593,489,579,414,426,476,363,406,311,320,274,207,292,149,161,149,169,219,165,126,145,83,120,83,82,79,58,53,44,36,33,12,84,64346,Khayan,MMR013026
 Illiterate,1012,319.0,96,49,36,30,28,19,28,13,18,11,12,21,18,19,12,16,25,12,16,15,25,25,15,27,18,17,21,19,30,22,13,24,14,16,9,14,17,14,24,14,15,13,10,17,17,14,16,12,21,13,13,9,7,17,7,7,7,12,13,6,7,9,2,10,1,7,6,4,9,3,7,5,10,9,3,5,4,2,5,3,1,3,2,2,2568,Khayan,MMR013026
 Total,1511,1556.0,1563,1550,1520,1561,1469,1612,1691,1519,1556,1398,1285,1295,1112,1315,977,1094,1128,992,1249,989,1131,1181,1072,1352,1113,1144,1192,916,1271,953,1010,1200,973,1209,760,1157,1051,915,1067,906,881,866,758,840,678,708,746,573,748,626,571,602,496,596,421,433,483,375,419,317,327,283,209,302,150,168,155,173,228,168,133,150,93,129,86,87,83,60,58,47,37,36,14,86,66914,Khayan,MMR013026
