Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,830,1918.0,2257,2066,2064,2251,2148,2396,2413,2471,2230,2108,2139,2418,2112,2440,2170,2235,2065,2001,2232,1974,1924,2323,2029,2396,1911,2137,2018,1868,2079,1763,1602,1964,1673,1968,1403,1803,1613,1461,1796,1418,1305,1428,1216,1358,1058,1183,1171,1085,1135,991,790,860,738,890,552,701,646,516,667,418,499,381,270,400,203,241,217,201,311,196,163,159,106,132,85,89,91,67,64,53,40,24,20,115,106922,Thanlyin,MMR013023
 Illiterate,1338,314.0,146,86,57,44,42,36,40,30,27,31,34,43,28,32,24,40,34,28,36,41,27,43,24,43,27,40,46,32,36,25,27,32,30,37,21,31,34,28,26,23,17,17,21,34,11,20,23,17,19,25,22,4,7,16,8,16,14,10,17,3,4,9,4,7,2,4,3,4,7,10,6,3,-,4,3,1,4,1,6,1,1,3,-,6,3577,Thanlyin,MMR013023
 Total,2168,2232.0,2403,2152,2121,2295,2190,2432,2453,2501,2257,2139,2173,2461,2140,2472,2194,2275,2099,2029,2268,2015,1951,2366,2053,2439,1938,2177,2064,1900,2115,1788,1629,1996,1703,2005,1424,1834,1647,1489,1822,1441,1322,1445,1237,1392,1069,1203,1194,1102,1154,1016,812,864,745,906,560,717,660,526,684,421,503,390,274,407,205,245,220,205,318,206,169,162,106,136,88,90,95,68,70,54,41,27,20,121,110499,Thanlyin,MMR013023
