Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,69,160.0,233,290,237,337,232,272,271,250,248,250,197,275,185,284,136,148,161,137,207,147,112,134,102,212,100,124,87,84,164,88,88,106,61,136,41,89,84,60,109,59,48,53,40,97,39,39,41,30,62,40,14,29,15,52,11,13,12,15,18,10,13,14,3,13,3,3,4,2,2,1,3,5,2,6,1,1,2,1,2,-,-,-,3,2,7530,Ponparkyin(ST),MMR016008
 Illiterate,499,417.0,268,236,140,159,96,121,129,125,204,178,142,184,125,287,106,133,110,96,256,106,103,144,76,438,77,97,95,90,305,124,119,124,91,405,66,110,82,87,261,107,96,106,75,376,66,69,79,77,115,74,74,58,43,259,26,33,44,34,80,20,24,20,8,124,16,19,12,15,28,11,6,5,1,43,2,1,5,2,3,2,3,3,1,11,9287,Ponparkyin(ST),MMR016008
 Total,568,577.0,501,526,377,496,328,393,400,375,452,428,339,459,310,571,242,281,271,233,463,253,215,278,178,650,177,221,182,174,469,212,207,230,152,541,107,199,166,147,370,166,144,159,115,473,105,108,120,107,177,114,88,87,58,311,37,46,56,49,98,30,37,34,11,137,19,22,16,17,30,12,9,10,3,49,3,2,7,3,5,2,3,3,4,13,16817,Ponparkyin(ST),MMR016008
