Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,342,950.0,1120,1099,1097,1113,1095,1197,1339,1255,1150,962,1041,1141,996,1184,1054,1048,999,822,1056,927,959,1051,868,1120,875,971,964,833,1102,886,872,1027,893,1052,713,998,855,721,935,709,661,745,692,698,559,623,628,539,651,537,427,396,398,538,335,333,335,305,365,261,285,208,135,189,104,112,127,98,157,86,74,85,68,75,42,41,33,45,42,29,26,19,17,60,53574,Kyauktan,MMR013024
 Illiterate,718,138.0,63,45,24,30,16,19,29,27,30,26,23,28,31,38,23,25,20,24,33,22,38,37,23,54,26,32,36,26,56,28,32,56,23,30,21,31,35,17,41,21,21,32,19,28,12,32,23,24,17,16,15,15,21,21,11,13,14,7,16,8,13,7,6,10,3,3,4,4,8,3,-,5,1,7,2,1,4,2,5,3,5,-,-,5,2561,Kyauktan,MMR013024
 Total,1060,1088.0,1183,1144,1121,1143,1111,1216,1368,1282,1180,988,1064,1169,1027,1222,1077,1073,1019,846,1089,949,997,1088,891,1174,901,1003,1000,859,1158,914,904,1083,916,1082,734,1029,890,738,976,730,682,777,711,726,571,655,651,563,668,553,442,411,419,559,346,346,349,312,381,269,298,215,141,199,107,115,131,102,165,89,74,90,69,82,44,42,37,47,47,32,31,19,17,65,56135,Kyauktan,MMR013024
