Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,469,998.0,1159,1021,1044,1038,1083,1143,1116,982,890,835,848,803,699,769,645,655,696,630,808,618,742,746,754,911,734,708,713,567,741,607,634,727,595,629,607,674,617,550,702,499,567,537,494,616,495,491,548,427,541,347,324,342,321,359,261,249,240,262,287,197,218,133,103,153,92,100,107,92,163,75,107,71,54,63,48,28,29,28,19,15,18,10,9,31,42077,Mingin,MMR005029
 Illiterate,560,88.0,39,18,16,14,8,13,11,5,6,4,18,8,3,8,13,8,11,3,18,6,13,12,12,16,8,22,7,8,15,8,5,9,5,8,3,2,5,2,9,4,7,10,6,13,7,4,5,13,7,7,11,8,9,12,8,7,1,10,7,4,7,2,4,6,2,2,5,1,5,3,1,2,1,4,3,2,3,1,2,1,1,-,-,-,1265,Mingin,MMR005029
 Total,1029,1086.0,1198,1039,1060,1052,1091,1156,1127,987,896,839,866,811,702,777,658,663,707,633,826,624,755,758,766,927,742,730,720,575,756,615,639,736,600,637,610,676,622,552,711,503,574,547,500,629,502,495,553,440,548,354,335,350,330,371,269,256,241,272,294,201,225,135,107,159,94,102,112,93,168,78,108,73,55,67,51,30,32,29,21,16,19,10,9,31,43342,Mingin,MMR005029
