Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,103,264.0,324,349,343,442,309,404,425,325,336,304,296,379,257,340,227,262,244,229,340,247,238,235,178,298,176,188,138,129,176,132,122,131,99,160,79,93,123,106,119,80,74,97,64,101,51,68,70,44,64,47,29,39,31,67,30,28,16,25,30,13,14,13,8,21,6,9,7,4,4,2,-,8,1,7,2,6,3,-,1,-,1,1,1,14,10870,Hopan,MMR015021
 Illiterate,608,433.0,331,329,227,309,142,237,261,176,314,196,178,267,162,398,114,161,176,150,416,157,176,203,146,558,132,166,136,111,409,133,146,214,121,447,112,133,144,95,305,125,111,142,98,407,98,131,121,86,166,135,82,111,61,333,73,77,71,55,137,47,47,55,26,135,32,29,38,23,55,16,20,25,16,55,6,6,2,9,18,10,7,6,5,27,12964,Hopan,MMR015021
 Total,711,697.0,655,678,570,751,451,641,686,501,650,500,474,646,419,738,341,423,420,379,756,404,414,438,324,856,308,354,274,240,585,265,268,345,220,607,191,226,267,201,424,205,185,239,162,508,149,199,191,130,230,182,111,150,92,400,103,105,87,80,167,60,61,68,34,156,38,38,45,27,59,18,20,33,17,62,8,12,5,9,19,10,8,7,6,41,23834,Hopan,MMR015021
