Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,33,82.0,96,129,125,132,118,139,134,127,119,105,105,117,97,104,74,64,87,81,80,61,58,59,66,94,53,54,56,54,44,48,47,38,26,46,37,52,50,30,40,25,30,30,33,32,15,21,27,21,23,26,22,22,12,19,10,12,9,12,9,9,4,14,6,10,7,5,1,4,-,1,1,5,1,2,2,2,1,1,1,-,-,-,-,2,3650,Hsadone(ST),MMR001002
 Illiterate,91,55.0,40,22,30,13,13,11,15,4,12,5,8,9,5,8,11,7,9,13,6,3,8,8,4,11,7,5,4,12,10,12,9,11,11,11,9,9,13,9,7,11,10,16,7,10,9,7,7,15,14,9,12,13,6,23,6,4,3,12,10,8,5,7,5,10,3,7,3,3,2,8,1,1,-,4,-,1,2,1,-,-,-,1,1,1,838,Hsadone(ST),MMR001002
 Total,124,137.0,136,151,155,145,131,150,149,131,131,110,113,126,102,112,85,71,96,94,86,64,66,67,70,105,60,59,60,66,54,60,56,49,37,57,46,61,63,39,47,36,40,46,40,42,24,28,34,36,37,35,34,35,18,42,16,16,12,24,19,17,9,21,11,20,10,12,4,7,2,9,2,6,1,6,2,3,3,2,1,-,-,1,1,3,4488,Hsadone(ST),MMR001002
