Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,175,243.0,345,410,359,512,323,497,476,340,520,394,330,512,279,643,262,324,373,289,620,307,321,400,219,660,206,253,185,161,426,197,174,210,140,491,102,164,141,104,305,107,84,141,74,351,75,94,69,70,128,78,49,75,25,177,21,34,30,24,72,14,15,25,6,60,13,4,2,7,13,8,4,10,-,13,3,2,1,1,1,-,1,2,1,6,15382,Pan San(Pan Kham),MMR015005
 Illiterate,1192,826.0,768,730,479,787,331,468,446,257,630,302,298,514,229,845,174,230,269,130,814,208,237,341,151,1243,123,201,143,79,879,174,171,270,113,1217,82,163,136,64,666,130,100,130,80,938,58,75,94,60,305,120,80,75,39,723,48,57,75,24,282,44,50,43,34,335,11,16,19,9,99,8,3,13,6,123,5,7,4,2,25,3,4,1,3,55,21795,Pan San(Pan Kham),MMR015005
 Total,1367,1069.0,1113,1140,838,1299,654,965,922,597,1150,696,628,1026,508,1488,436,554,642,419,1434,515,558,741,370,1903,329,454,328,240,1305,371,345,480,253,1708,184,327,277,168,971,237,184,271,154,1289,133,169,163,130,433,198,129,150,64,900,69,91,105,48,354,58,65,68,40,395,24,20,21,16,112,16,7,23,6,136,8,9,5,3,26,3,5,3,4,61,37177,Pan San(Pan Kham),MMR015005
