Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,13,24.0,51,42,56,71,46,42,45,45,42,43,31,49,34,51,23,45,31,20,33,24,27,30,23,29,17,22,22,17,21,14,21,21,15,24,12,23,14,14,21,10,8,20,10,15,7,18,15,8,14,9,15,9,1,10,3,5,3,4,1,2,2,2,2,1,-,-,2,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1448,Sugali(ST),MMR003005
 Illiterate,60,58.0,37,28,15,29,8,15,12,10,7,14,8,18,12,13,14,11,13,16,17,14,24,18,9,25,11,24,14,10,25,16,15,16,14,25,14,15,14,7,21,16,11,12,7,29,9,6,11,7,19,7,7,17,6,24,3,7,9,4,7,3,8,5,-,7,2,2,3,1,3,2,1,1,-,6,1,1,1,-,-,-,-,-,-,2,1013,Sugali(ST),MMR003005
 Total,73,82.0,88,70,71,100,54,57,57,55,49,57,39,67,46,64,37,56,44,36,50,38,51,48,32,54,28,46,36,27,46,30,36,37,29,49,26,38,28,21,42,26,19,32,17,44,16,24,26,15,33,16,22,26,7,34,6,12,12,8,8,5,10,7,2,8,2,2,5,1,5,2,1,3,-,6,1,1,1,-,-,-,-,-,-,2,2461,Sugali(ST),MMR003005
