Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,456,1814.0,2014,2035,2042,2127,2037,2235,2143,2005,1711,1235,1119,1149,1029,1146,903,972,892,747,904,763,795,888,694,968,762,816,791,684,939,709,733,897,704,892,632,831,786,669,961,654,643,733,544,751,580,636,657,575,714,581,540,546,396,606,326,391,412,323,446,243,305,218,153,244,127,145,139,130,215,117,89,86,44,97,47,42,45,38,59,27,28,21,15,68,60425,Kyaikemaraw,MMR011002
 Illiterate,1809,589.0,269,161,118,129,90,114,123,96,112,117,107,116,82,133,105,124,127,120,207,138,153,155,133,233,141,184,204,158,283,208,187,250,159,252,148,208,217,211,342,198,227,237,171,291,175,205,188,187,307,192,174,176,102,305,98,150,140,122,203,80,104,101,56,176,47,91,87,61,159,55,37,65,32,109,38,46,37,37,61,27,25,17,8,49,14265,Kyaikemaraw,MMR011002
 Total,2265,2403.0,2283,2196,2160,2256,2127,2349,2266,2101,1823,1352,1226,1265,1111,1279,1008,1096,1019,867,1111,901,948,1043,827,1201,903,1000,995,842,1222,917,920,1147,863,1144,780,1039,1003,880,1303,852,870,970,715,1042,755,841,845,762,1021,773,714,722,498,911,424,541,552,445,649,323,409,319,209,420,174,236,226,191,374,172,126,151,76,206,85,88,82,75,120,54,53,38,23,117,74690,Kyaikemaraw,MMR011002
