Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,332,1265.0,1438,1462,1527,1610,1431,1663,1647,1446,1308,1114,1072,1188,1023,1153,1008,1077,979,889,1064,907,970,1058,858,1197,803,953,964,750,1061,818,835,954,714,1031,635,970,800,673,1010,636,574,711,529,771,450,673,579,493,579,498,424,434,297,550,281,305,315,225,332,207,219,146,115,226,106,138,147,116,172,94,73,101,38,70,51,57,50,43,49,42,22,21,16,62,55694,Ye,MMR011006
 Illiterate,1106,399.0,146,103,63,72,64,78,86,87,68,64,74,86,63,97,76,88,91,81,102,71,85,86,76,136,91,110,91,81,156,88,99,95,75,137,66,141,95,80,177,84,79,111,60,144,70,94,91,69,122,96,75,77,41,140,36,60,44,34,79,32,64,26,13,91,27,42,41,35,81,33,21,49,20,51,15,27,30,29,22,18,12,11,5,32,7563,Ye,MMR011006
 Total,1438,1664.0,1584,1565,1590,1682,1495,1741,1733,1533,1376,1178,1146,1274,1086,1250,1084,1165,1070,970,1166,978,1055,1144,934,1333,894,1063,1055,831,1217,906,934,1049,789,1168,701,1111,895,753,1187,720,653,822,589,915,520,767,670,562,701,594,499,511,338,690,317,365,359,259,411,239,283,172,128,317,133,180,188,151,253,127,94,150,58,121,66,84,80,72,71,60,34,32,21,94,63257,Ye,MMR011006
