Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,363,1208.0,1617,1679,1768,1911,1659,1828,1798,1529,1359,1039,934,949,713,934,657,672,663,560,648,517,535,627,488,668,491,562,565,464,654,477,525,630,465,689,450,627,479,535,675,495,455,492,394,542,358,432,479,387,488,395,337,322,269,442,229,227,273,212,298,184,183,158,95,179,55,94,79,71,108,53,48,63,33,53,20,33,23,20,30,17,14,7,7,25,44789,Hlaingbwe,MMR003002
 Illiterate,1618,742.0,383,301,206,283,216,228,276,234,251,208,197,211,135,182,121,141,163,158,224,154,160,211,170,288,167,241,257,206,342,241,211,309,199,390,186,305,292,267,431,291,246,281,194,433,176,250,245,203,314,258,216,205,148,359,141,140,176,152,262,132,166,120,75,240,49,80,74,57,140,62,47,79,26,121,19,31,31,29,55,15,15,9,7,49,17923,Hlaingbwe,MMR003002
 Total,1981,1950.0,2000,1980,1974,2194,1875,2056,2074,1763,1610,1247,1131,1160,848,1116,778,813,826,718,872,671,695,838,658,956,658,803,822,670,996,718,736,939,664,1079,636,932,771,802,1106,786,701,773,588,975,534,682,724,590,802,653,553,527,417,801,370,367,449,364,560,316,349,278,170,419,104,174,153,128,248,115,95,142,59,174,39,64,54,49,85,32,29,16,14,74,62712,Hlaingbwe,MMR003002
