Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,209,290.0,377,456,414,696,326,478,515,363,579,309,286,387,203,433,129,160,156,136,319,123,119,170,90,301,62,97,82,48,192,76,63,74,39,158,21,33,39,35,98,25,27,32,20,99,23,15,30,13,36,27,15,25,17,58,18,16,11,6,23,5,9,11,9,30,6,3,4,1,16,4,2,1,-,15,2,1,-,-,4,1,1,-,2,4,9808,Minemaw,MMR015008
 Illiterate,955,553.0,556,541,380,699,248,378,389,287,747,298,311,526,269,982,209,216,271,186,875,213,279,307,167,1109,125,166,134,104,707,142,130,216,145,1127,86,131,140,91,570,91,129,145,107,1077,89,80,78,67,343,91,78,91,66,798,67,69,76,58,203,34,72,61,47,408,31,41,28,13,134,40,22,34,21,233,19,16,19,7,50,11,9,6,7,104,21235,Minemaw,MMR015008
 Total,1164,843.0,933,997,794,1395,574,856,904,650,1326,607,597,913,472,1415,338,376,427,322,1194,336,398,477,257,1410,187,263,216,152,899,218,193,290,184,1285,107,164,179,126,668,116,156,177,127,1176,112,95,108,80,379,118,93,116,83,856,85,85,87,64,226,39,81,72,56,438,37,44,32,14,150,44,24,35,21,248,21,17,19,7,54,12,10,6,9,108,31043,Minemaw,MMR015008
