Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,666,2253.0,2725,2706,2683,2838,2678,2903,2888,2674,2632,2201,2234,2290,1906,2201,1672,1770,1836,1665,1921,1589,1550,1737,1570,1943,1435,1585,1547,1307,1740,1223,1305,1569,1326,1547,1042,1411,1263,1128,1545,1120,994,1166,1022,1294,976,1020,995,936,988,819,718,756,629,835,483,515,423,402,501,369,372,274,200,324,179,171,208,159,309,166,126,177,94,140,96,68,67,57,82,35,23,24,16,73,97105,Kyauktaga,MMR007006
 Illiterate,2196,690.0,297,164,98,82,59,65,87,89,71,66,75,92,51,96,54,66,74,68,102,62,95,67,70,103,57,83,69,54,120,62,70,77,61,90,58,55,87,64,110,58,58,70,53,74,53,54,66,57,82,44,33,40,39,64,35,37,29,33,41,29,30,34,14,47,13,19,24,19,40,22,17,16,15,35,9,17,8,5,9,5,6,4,5,20,7638,Kyauktaga,MMR007006
 Total,2862,2943.0,3022,2870,2781,2920,2737,2968,2975,2763,2703,2267,2309,2382,1957,2297,1726,1836,1910,1733,2023,1651,1645,1804,1640,2046,1492,1668,1616,1361,1860,1285,1375,1646,1387,1637,1100,1466,1350,1192,1655,1178,1052,1236,1075,1368,1029,1074,1061,993,1070,863,751,796,668,899,518,552,452,435,542,398,402,308,214,371,192,190,232,178,349,188,143,193,109,175,105,85,75,62,91,40,29,28,21,93,104743,Kyauktaga,MMR007006
