Read_and_write,Age_5,Age_6.0,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Literate,913,2199.0,2465,2376,2555,2761,2635,2724,2759,2773,2505,2298,2259,2374,2019,2337,1935,2034,1966,1878,2100,1819,1875,2112,1860,2256,1868,1867,1978,1630,2136,1522,1619,1813,1608,1831,1184,1793,1710,1570,1882,1413,1406,1620,1290,1620,1124,1261,1304,1193,1358,1161,1050,1080,813,1051,610,700,733,634,665,479,458,309,243,363,225,262,296,271,433,249,184,233,132,220,139,116,116,83,112,70,49,39,35,131,111131,Taikkyi,MMR013005
 Illiterate,1695,486.0,226,139,109,81,78,92,99,87,92,78,84,75,67,94,65,56,78,74,110,66,81,76,72,106,71,59,68,53,96,45,47,78,46,61,32,61,48,40,55,42,37,58,50,51,29,28,33,30,41,38,21,30,15,42,15,20,18,13,26,7,10,4,13,15,8,13,20,15,21,12,8,16,7,22,10,14,14,4,4,8,5,3,1,17,6134,Taikkyi,MMR013005
 Total,2608,2685.0,2691,2515,2664,2842,2713,2816,2858,2860,2597,2376,2343,2449,2086,2431,2000,2090,2044,1952,2210,1885,1956,2188,1932,2362,1939,1926,2046,1683,2232,1567,1666,1891,1654,1892,1216,1854,1758,1610,1937,1455,1443,1678,1340,1671,1153,1289,1337,1223,1399,1199,1071,1110,828,1093,625,720,751,647,691,486,468,313,256,378,233,275,316,286,454,261,192,249,139,242,149,130,130,87,116,78,54,42,36,148,117265,Taikkyi,MMR013005
