Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2798,2946,3081,3363,3377,3256,3373,3326,3277,3269,3440,3270,3563,3639,3421,3147,2997,2963,3094,2471,2940,2345,2587,2487,2309,2860,2360,2425,2552,2165,2936,2100,2370,2298,2041,2658,1887,2130,2495,1934,2338,1612,2283,2008,1804,2371,1791,1575,1733,1442,1841,1342,1486,1392,1309,1705,1240,1182,1087,912,1273,690,794,722,633,916,577,678,487,325,629,284,378,403,311,658,326,214,294,164,289,139,162,142,137,166,84,58,46,33,124,156539,Oatwin,MMR007013
 Yes - some difficulty,6,19,20,26,10,8,20,17,25,26,22,17,21,26,16,14,13,12,11,15,13,11,7,12,13,10,11,12,12,13,12,9,23,12,16,21,11,25,23,15,31,20,31,33,26,47,38,33,37,29,42,30,37,51,38,57,49,41,42,36,55,27,33,26,35,49,25,29,38,25,58,28,49,54,50,95,52,41,38,28,65,22,34,25,21,38,17,18,13,12,47,2520,Oatwin,MMR007013
 Yes - a lot of difficulty,23,11,7,5,3,4,10,6,7,7,17,5,5,11,10,5,4,4,6,1,4,1,3,2,-,8,3,4,3,5,5,4,3,2,4,3,2,2,1,-,7,1,4,2,3,5,4,7,4,1,6,3,1,1,3,4,1,1,7,4,7,1,1,7,5,6,2,2,4,2,10,6,3,7,7,16,3,6,13,4,14,8,7,9,3,7,11,5,5,2,12,474,Oatwin,MMR007013
 Yes - cannot remember/concentrate at all,23,10,3,7,4,5,1,8,6,5,6,4,9,7,5,8,3,5,2,3,4,3,3,1,2,6,1,4,2,3,4,3,6,5,1,5,3,3,3,2,6,1,5,2,-,5,3,3,1,2,5,-,2,1,1,3,1,5,-,2,2,1,3,1,3,2,-,1,-,-,2,1,-,1,1,4,-,1,3,3,8,-,2,1,1,6,2,3,1,3,3,295,Oatwin,MMR007013
 Total,2850,2986,3111,3401,3394,3273,3404,3357,3315,3307,3485,3296,3598,3683,3452,3174,3017,2984,3113,2490,2961,2360,2600,2502,2324,2884,2375,2445,2569,2186,2957,2116,2402,2317,2062,2687,1903,2160,2522,1951,2382,1634,2323,2045,1833,2428,1836,1618,1775,1474,1894,1375,1526,1445,1351,1769,1291,1229,1136,954,1337,719,831,756,676,973,604,710,529,352,699,319,430,465,369,773,381,262,348,199,376,169,205,177,162,217,114,84,65,50,186,159828,Oatwin,MMR007013
