Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4608,4773,4707,4663,4360,4156,3901,4158,4023,3629,3874,3498,4074,4405,4147,4210,5330,6817,9230,8758,11318,8584,9288,9805,8673,10541,7999,8148,8611,7042,9979,5739,6540,6138,5093,6906,4716,5127,5651,4120,6370,3475,4739,4359,3373,4951,2785,2770,3053,2112,3406,1698,2094,1887,1691,1920,1323,1117,1108,761,1285,554,616,578,513,695,368,446,297,163,434,119,167,140,130,224,118,84,91,33,159,52,47,42,32,73,37,24,25,20,107,310004,Phakant,MMR001009
 Yes - some difficulty,80,47,33,27,14,14,9,6,9,5,12,6,16,14,6,11,7,13,10,7,13,4,10,8,7,14,12,7,12,11,19,12,13,19,5,22,23,15,24,16,38,13,18,31,16,44,30,26,24,33,65,30,29,41,40,47,40,38,36,39,57,24,21,27,23,32,27,31,22,15,39,13,15,19,8,29,11,13,9,7,14,4,9,3,7,12,2,7,4,2,26,1822,Phakant,MMR001009
 Yes - a lot of difficulty,21,3,10,5,2,6,4,3,8,5,4,2,3,7,5,4,1,-,2,1,2,-,2,5,2,6,3,2,3,1,7,-,2,2,1,6,-,4,3,-,8,1,1,2,1,4,6,2,7,2,7,1,4,4,2,3,2,2,4,1,7,1,3,2,2,3,2,5,4,3,9,2,2,3,1,9,1,1,2,2,10,4,1,1,-,3,1,2,2,-,12,311,Phakant,MMR001009
 Yes - cannot remember/concentrate at all,4,1,1,1,3,2,4,4,3,5,2,5,6,1,1,4,-,-,4,2,1,1,2,1,3,2,3,1,3,2,3,3,3,-,1,2,-,1,2,-,-,1,1,-,2,1,-,1,-,-,4,1,2,1,-,1,-,1,1,-,1,1,1,1,1,1,1,-,-,1,3,1,-,-,1,2,-,1,-,-,6,1,1,1,1,1,-,-,-,1,9,141,Phakant,MMR001009
 Total,4713,4824,4751,4696,4379,4178,3918,4171,4043,3644,3892,3511,4099,4427,4159,4229,5338,6830,9246,8768,11334,8589,9302,9819,8685,10563,8017,8158,8629,7056,10008,5754,6558,6159,5100,6936,4739,5147,5680,4136,6416,3490,4759,4392,3392,5000,2821,2799,3084,2147,3482,1730,2129,1933,1733,1971,1365,1158,1149,801,1350,580,641,608,539,731,398,482,323,182,485,135,184,162,140,264,130,99,102,42,189,61,58,47,40,89,40,33,31,23,154,312278,Phakant,MMR001009
