Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,315,217,243,225,220,214,228,250,237,207,245,181,221,194,201,143,143,118,116,114,153,101,110,125,128,152,131,113,153,99,167,76,118,118,106,112,105,91,120,70,160,75,87,82,74,99,73,61,77,76,144,65,87,64,83,68,59,38,54,32,61,17,37,32,37,35,26,33,24,12,35,14,23,21,12,10,9,6,6,1,9,1,5,5,2,2,5,4,1,1,11,8435,Machanbaw,MMR001016
 Yes - some difficulty,8,3,4,5,11,9,10,4,3,4,2,1,1,-,1,-,-,-,-,-,1,3,1,-,2,1,1,1,-,1,3,4,1,3,-,2,2,1,5,3,9,3,4,3,2,5,-,-,3,2,6,-,3,2,1,6,5,2,3,4,10,1,6,7,4,5,6,5,2,2,11,4,5,2,2,2,6,3,-,4,6,-,3,2,2,1,-,-,1,-,5,271,Machanbaw,MMR001016
 Yes - a lot of difficulty,2,-,1,1,1,-,1,-,-,1,-,2,-,1,-,1,-,-,-,-,1,1,-,-,-,2,-,-,-,1,-,-,-,1,1,-,-,2,2,-,3,1,-,1,1,3,-,1,-,1,3,2,-,-,1,2,2,2,2,-,6,-,1,2,1,3,-,2,1,-,6,-,1,2,3,3,2,-,-,-,5,-,1,-,-,-,-,-,-,-,4,90,Machanbaw,MMR001016
 Yes - cannot remember/concentrate at all,-,-,-,-,1,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-,2,-,1,1,-,1,1,1,1,-,-,1,-,2,2,-,1,2,1,-,1,1,-,3,-,-,1,-,4,-,1,2,-,3,1,2,-,1,2,-,1,2,1,1,-,-,1,-,5,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,2,62,Machanbaw,MMR001016
 Total,325,220,248,231,233,224,239,255,240,212,248,184,223,195,202,144,143,118,116,114,156,105,113,125,131,156,132,115,154,102,171,80,119,123,107,116,109,94,128,75,173,79,92,87,77,110,73,62,81,79,157,67,91,68,85,79,67,44,59,37,79,18,45,43,43,44,32,40,28,14,57,18,29,25,18,15,17,9,6,5,21,1,9,8,4,3,6,4,2,1,22,8858,Machanbaw,MMR001016
