Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3884,3915,4309,4662,4927,4607,4587,4989,4474,4626,4935,4978,5244,5450,5280,5000,4290,4424,4772,3907,4800,4020,4089,4019,3839,4609,3777,4105,4314,4109,5071,3674,4122,4018,3507,4691,3498,3649,3852,3180,4146,2850,3743,3360,2847,4102,2934,3051,2909,2501,3145,2550,2604,2617,2424,3091,2160,2109,2073,1696,2263,1489,1684,1612,1403,1707,1057,1318,964,722,1212,530,641,671,592,1186,520,572,603,365,523,310,349,346,280,317,179,148,118,63,301,255160,Taungdwingyi,MMR009004
 Yes - some difficulty,86,57,52,42,24,26,25,22,26,27,29,26,33,18,16,15,16,23,18,13,16,17,7,20,14,8,8,8,10,13,14,11,16,10,12,18,10,8,19,18,30,16,26,36,22,33,36,30,37,38,46,45,42,60,47,79,46,59,45,40,52,57,67,67,70,79,55,84,51,46,77,39,57,51,53,146,57,61,76,57,90,49,64,54,54,46,34,34,23,17,84,3515,Taungdwingyi,MMR009004
 Yes - a lot of difficulty,52,15,13,5,4,10,4,7,8,10,10,11,8,11,8,9,5,8,7,6,5,6,3,2,2,8,9,4,3,6,5,6,6,10,3,6,6,3,4,5,5,5,5,3,3,13,2,5,4,2,7,6,6,7,5,5,2,8,4,6,7,7,4,4,4,4,4,7,3,4,10,2,3,15,11,21,9,6,10,10,19,14,11,15,2,13,7,12,13,8,32,707,Taungdwingyi,MMR009004
 Yes - cannot remember/concentrate at all,40,3,3,3,6,5,7,8,9,7,12,9,11,9,9,12,3,9,4,7,2,4,5,1,5,5,2,5,1,2,7,2,4,1,3,10,5,2,8,3,9,1,5,5,1,4,1,3,4,1,8,1,9,7,4,8,6,2,2,2,9,1,5,3,3,9,3,4,3,1,5,1,5,5,6,7,4,2,4,1,8,4,4,6,6,8,2,3,4,2,14,478,Taungdwingyi,MMR009004
 Total,4062,3990,4377,4712,4961,4648,4623,5026,4517,4670,4986,5024,5296,5488,5313,5036,4314,4464,4801,3933,4823,4047,4104,4042,3860,4630,3796,4122,4328,4130,5097,3693,4148,4039,3525,4725,3519,3662,3883,3206,4190,2872,3779,3404,2873,4152,2973,3089,2954,2542,3206,2602,2661,2691,2480,3183,2214,2178,2124,1744,2331,1554,1760,1686,1480,1799,1119,1413,1021,773,1304,572,706,742,662,1360,590,641,693,433,640,377,428,421,342,384,222,197,158,90,431,259860,Taungdwingyi,MMR009004
