Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,5112,5392,6028,6114,6303,6264,6802,6692,6197,6423,6950,6940,7366,7012,6498,6196,5359,5296,5666,4731,5804,4459,4720,4715,4159,5230,4153,4466,4969,4465,5613,4304,4544,5012,3998,5216,4046,4030,4810,4161,4835,3303,4711,3768,3515,4423,3627,3374,3803,2993,3774,2897,3086,3269,2784,3381,2671,2301,2519,2123,2783,1787,1848,1830,1533,1815,1323,1273,964,687,1123,617,683,734,658,1000,553,453,549,309,459,306,267,276,251,260,186,120,104,61,250,308434,Maubin,MMR017019
 Yes - some difficulty,51,38,39,25,27,24,29,29,29,53,30,36,26,40,25,22,29,16,18,14,27,22,21,17,10,17,8,12,16,17,12,14,19,17,22,22,14,13,20,16,31,16,35,29,33,36,36,48,36,43,53,54,53,57,58,76,62,59,82,79,100,51,80,97,79,101,78,73,64,57,117,65,60,78,94,130,78,66,86,68,96,71,87,82,71,50,48,35,30,21,90,4215,Maubin,MMR017019
 Yes - a lot of difficulty,34,18,9,11,3,6,9,9,13,9,8,7,21,5,13,9,8,7,10,7,9,2,4,2,4,7,5,5,9,4,8,3,6,6,3,7,7,8,5,4,3,6,6,3,4,9,-,1,4,4,10,3,2,4,7,11,12,5,10,5,17,8,5,14,8,16,6,11,18,8,18,8,13,20,14,24,19,15,17,15,29,15,14,18,21,21,10,8,9,4,36,892,Maubin,MMR017019
 Yes - cannot remember/concentrate at all,10,6,3,4,8,8,10,15,14,9,5,9,11,12,13,7,9,6,4,5,10,4,5,1,4,7,7,3,3,7,10,1,5,6,3,3,5,1,3,3,7,4,3,-,4,4,3,7,4,10,8,3,7,2,3,4,4,7,7,1,4,4,3,6,8,12,5,5,4,3,5,4,7,6,2,7,10,8,6,6,6,5,8,4,4,12,12,5,2,6,22,552,Maubin,MMR017019
 Total,5207,5454,6079,6154,6341,6302,6850,6745,6253,6494,6993,6992,7424,7069,6549,6234,5405,5325,5698,4757,5850,4487,4750,4735,4177,5261,4173,4486,4997,4493,5643,4322,4574,5041,4026,5248,4072,4052,4838,4184,4876,3329,4755,3800,3556,4472,3666,3430,3847,3050,3845,2957,3148,3332,2852,3472,2749,2372,2618,2208,2904,1850,1936,1947,1628,1944,1412,1362,1050,755,1263,694,763,838,768,1161,660,542,658,398,590,397,376,380,347,343,256,168,145,92,398,314093,Maubin,MMR017019
