Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,438,434,473,499,470,441,515,491,508,431,487,471,513,496,490,420,388,389,430,404,419,373,430,423,366,405,343,378,388,320,463,301,335,309,275,367,245,286,320,227,314,232,271,254,204,321,182,217,210,178,228,153,192,184,161,224,157,154,123,83,178,49,77,76,55,107,46,60,49,22,61,22,28,29,37,40,21,21,23,7,18,6,12,7,10,10,5,7,4,2,14,21306,Kaleinaung(ST),MMR006004
 Yes - some difficulty,-,1,-,1,3,1,2,3,4,5,4,3,6,4,1,-,1,1,5,-,3,4,3,2,3,6,9,4,1,4,6,3,3,4,3,4,7,3,8,3,6,8,6,12,11,8,3,7,15,9,10,7,10,12,10,21,11,9,10,7,15,7,7,7,7,10,5,8,2,2,8,2,7,4,1,10,5,5,4,4,7,3,5,5,2,3,-,1,-,1,11,478,Kaleinaung(ST),MMR006004
 Yes - a lot of difficulty,-,-,-,1,-,1,1,-,-,-,1,3,3,-,1,-,1,2,-,2,2,-,1,-,-,-,-,1,2,1,-,-,1,-,1,-,1,-,-,-,-,-,1,-,1,1,-,-,-,1,2,-,-,4,1,3,1,1,-,-,2,-,-,-,1,-,-,-,1,-,1,-,1,-,-,2,-,-,-,-,1,-,-,1,1,3,1,-,-,-,3,60,Kaleinaung(ST),MMR006004
 Yes - cannot remember/concentrate at all,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,-,-,1,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,21,Kaleinaung(ST),MMR006004
 Total,438,435,473,501,473,444,518,494,512,436,492,477,522,500,492,421,390,392,436,406,426,377,434,426,369,411,352,383,392,325,470,305,339,314,279,371,253,289,328,230,320,240,278,267,216,330,187,224,226,188,240,160,202,200,172,249,169,164,133,90,195,56,84,83,64,117,51,68,52,24,71,24,36,33,39,53,26,26,28,11,26,9,18,13,13,16,6,8,4,3,28,21865,Kaleinaung(ST),MMR006004
