Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,728,715,779,740,862,779,839,908,950,927,1077,1118,1214,1526,1617,1585,1822,1922,2364,2173,2642,2392,2344,2390,2105,2257,1971,1896,1903,1743,2059,1580,1655,1514,1404,1595,1401,1303,1503,1337,1547,1160,1470,1271,1171,1457,1223,1206,1305,1139,1275,1035,1126,1150,1112,1086,926,938,969,818,966,688,726,726,624,702,518,588,486,351,457,292,294,360,316,424,260,230,279,201,192,180,180,174,135,127,107,75,83,72,229,96065,Bahan,MMR013044
 Yes - some difficulty,7,2,4,-,1,1,1,1,-,3,3,5,4,6,2,1,2,2,2,1,3,4,1,5,2,3,2,7,2,2,4,4,3,3,2,2,1,3,1,5,3,4,5,6,6,6,5,5,8,7,7,4,3,2,5,3,6,9,6,7,2,8,10,6,6,4,1,8,3,4,3,7,5,6,9,8,10,8,5,6,10,8,2,7,10,12,10,6,9,5,40,452,Bahan,MMR013044
 Yes - a lot of difficulty,1,-,1,1,2,-,1,-,1,1,-,3,1,1,3,-,-,-,2,1,1,1,-,2,1,1,-,1,1,2,-,-,1,-,1,1,-,1,4,1,4,3,2,1,2,3,1,2,-,-,3,-,2,1,-,3,2,1,2,1,4,3,1,2,1,3,1,1,3,1,2,-,-,-,2,-,-,3,1,2,2,3,-,1,4,3,-,3,1,1,9,128,Bahan,MMR013044
 Yes - cannot remember/concentrate at all,1,1,1,-,2,1,-,2,2,1,-,1,3,-,2,-,3,2,1,-,-,1,2,1,-,1,-,-,1,-,-,2,1,2,-,1,-,-,-,-,2,-,1,-,-,1,1,1,1,-,3,-,-,-,1,1,-,-,1,1,-,1,1,1,1,-,1,-,1,1,2,-,-,1,-,1,2,1,2,1,-,-,3,-,-,1,4,1,2,2,8,87,Bahan,MMR013044
 Total,737,718,785,741,867,781,841,911,953,932,1080,1127,1222,1533,1624,1586,1827,1926,2369,2175,2646,2398,2347,2398,2108,2262,1973,1904,1907,1747,2063,1586,1660,1519,1407,1599,1402,1307,1508,1343,1556,1167,1478,1278,1179,1467,1230,1214,1314,1146,1288,1039,1131,1153,1118,1093,934,948,978,827,972,700,738,735,632,709,521,597,493,357,464,299,299,367,327,433,272,242,287,210,204,191,185,182,149,143,121,85,95,80,286,96732,Bahan,MMR013044
