Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,680,1875,2002,2204,1847,2334,1742,1916,2083,1564,2693,1134,1722,1803,1333,2565,1248,1224,1856,964,2945,735,818,932,688,2508,692,820,991,546,2705,357,483,415,337,1757,419,371,593,361,2360,228,305,316,201,1303,236,267,375,252,1985,182,184,183,151,676,218,174,203,133,1272,133,151,156,91,379,82,123,93,65,594,49,53,31,15,168,51,37,50,22,281,19,16,15,6,41,10,14,11,12,105,68339,Minemaw,MMR015008
 Yes - some difficulty,8,33,25,22,19,18,13,17,12,15,17,11,17,14,17,20,15,7,18,12,24,7,17,9,13,29,10,10,5,7,68,11,12,8,5,29,5,4,8,10,86,2,15,4,9,35,9,8,7,8,133,6,11,9,7,51,9,10,12,15,233,9,14,19,20,70,13,17,18,14,164,10,22,17,9,53,8,6,16,11,90,9,7,7,2,26,4,1,3,-,37,1996,Minemaw,MMR015008
 Yes - a lot of difficulty,1,-,-,-,2,1,3,1,1,-,1,1,3,-,1,1,1,1,-,-,1,1,-,2,1,1,-,-,1,-,1,-,3,1,1,-,-,-,1,-,2,-,1,-,-,5,-,-,-,1,8,4,-,-,1,-,1,2,2,4,20,-,4,-,3,8,2,2,5,6,43,5,7,8,6,13,3,5,4,3,35,5,2,6,1,10,1,2,-,1,23,296,Minemaw,MMR015008
 Yes - cannot remember/concentrate at all,-,-,1,-,-,-,2,-,1,1,-,-,-,-,-,-,1,1,-,1,2,-,-,-,-,-,1,-,-,1,2,1,1,-,-,1,-,-,-,-,3,1,-,1,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,1,1,-,3,-,-,1,-,6,-,1,-,-,-,-,-,-,1,3,-,-,-,1,1,-,2,-,3,2,52,Minemaw,MMR015008
 Total,689,1908,2028,2226,1868,2353,1760,1934,2097,1580,2711,1146,1742,1817,1351,2586,1265,1233,1874,977,2972,743,835,943,702,2538,703,830,997,554,2776,369,499,424,343,1787,424,375,602,371,2451,231,321,321,210,1343,245,275,383,261,2128,192,195,192,160,727,228,186,217,152,1525,142,170,176,114,460,97,142,117,85,807,64,83,56,30,234,62,48,70,37,409,33,25,28,10,78,15,19,14,16,167,70683,Minemaw,MMR015008
