Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3175,3092,3289,3441,3638,3386,3368,3830,3634,3602,3774,3837,4556,5191,5337,4986,5263,5748,6314,5758,6730,5381,5561,5572,5097,5560,4788,5023,5307,4601,5902,3970,4633,4429,3865,4904,3570,3934,4549,3632,4730,3237,4199,3772,3213,4327,2947,3382,3476,2699,3468,2359,2816,2660,2345,2731,2158,2020,2005,1634,2158,1279,1537,1445,1196,1757,913,1251,952,630,861,485,617,663,503,855,488,449,556,266,444,275,309,248,205,251,168,130,137,77,346,263856,Aungmyetharzan,MMR010001
 Yes - some difficulty,17,4,6,3,5,3,8,3,5,3,5,4,12,6,10,9,8,10,11,7,6,7,8,8,6,6,8,7,7,11,10,9,12,11,9,7,12,7,9,11,14,9,10,11,22,13,8,16,16,18,20,15,15,15,24,25,16,18,17,17,23,20,18,23,21,34,17,23,25,12,31,9,17,31,26,47,20,24,31,13,37,17,26,16,11,19,14,8,6,5,53,1306,Aungmyetharzan,MMR010001
 Yes - a lot of difficulty,2,2,4,-,-,-,3,3,4,3,6,3,7,7,6,3,2,2,-,9,5,2,3,2,2,2,3,2,7,6,-,4,2,5,3,4,3,3,2,4,3,-,-,4,2,2,2,2,7,1,6,1,-,2,2,3,1,1,-,2,4,3,2,4,1,5,1,2,2,2,3,3,2,7,2,4,4,-,4,3,12,3,3,11,4,10,3,-,1,4,21,301,Aungmyetharzan,MMR010001
 Yes - cannot remember/concentrate at all,14,9,5,1,5,3,3,4,4,3,10,7,5,12,7,5,5,4,1,4,9,2,2,2,6,1,7,4,5,4,5,3,4,5,-,4,2,7,7,1,5,2,3,3,4,4,5,2,2,1,8,-,2,5,5,3,3,1,5,-,1,-,-,2,1,3,1,-,2,1,4,1,-,1,1,10,1,2,3,1,1,1,3,1,1,5,1,2,-,-,12,316,Aungmyetharzan,MMR010001
 Total,3208,3107,3304,3445,3648,3392,3382,3840,3647,3611,3795,3851,4580,5216,5360,5003,5278,5764,6326,5778,6750,5392,5574,5584,5111,5569,4806,5036,5326,4622,5917,3986,4651,4450,3877,4919,3587,3951,4567,3648,4752,3248,4212,3790,3241,4346,2962,3402,3501,2719,3502,2375,2833,2682,2376,2762,2178,2040,2027,1653,2186,1302,1557,1474,1219,1799,932,1276,981,645,899,498,636,702,532,916,513,475,594,283,494,296,341,276,221,285,186,140,144,86,432,265779,Aungmyetharzan,MMR010001
