Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2377,2498,2223,2497,2544,2219,2488,2517,2498,2649,2762,2576,2840,2871,2794,2781,2528,2806,2771,2411,2851,2387,2593,2504,2243,2705,2366,2467,2502,2228,2845,2182,2328,2242,1934,2294,1882,2092,2165,1828,2171,1776,2167,1916,1964,2146,1712,1809,1990,1674,1932,1536,1722,1729,1392,1656,1282,1165,1128,887,1127,739,737,762,687,760,581,631,443,361,533,289,358,345,340,434,299,289,302,194,275,157,170,160,140,139,90,83,55,45,137,143704,Kawlin,MMR005024
 Yes - some difficulty,8,8,4,11,13,11,12,8,10,15,12,9,12,9,8,8,5,7,6,3,8,8,8,4,9,4,2,6,11,8,7,9,2,4,7,9,7,8,3,4,4,9,11,12,7,7,9,9,10,8,6,13,9,10,8,13,14,9,10,6,16,15,14,11,16,17,14,22,16,14,26,15,26,15,21,33,18,21,26,19,28,13,19,19,17,17,12,5,11,6,23,1036,Kawlin,MMR005024
 Yes - a lot of difficulty,4,6,1,8,12,-,5,3,2,9,6,6,7,9,4,3,5,2,3,3,5,2,6,4,4,7,1,5,5,2,3,2,6,3,1,1,1,2,3,-,2,4,4,2,1,2,1,2,1,2,5,2,3,2,1,3,1,1,3,1,2,-,2,4,1,-,3,1,1,2,5,2,4,4,3,4,3,5,8,3,6,4,5,5,6,3,2,2,2,3,6,305,Kawlin,MMR005024
 Yes - cannot remember/concentrate at all,16,11,6,11,2,1,4,3,3,5,4,3,6,5,5,2,6,5,5,3,4,4,4,1,3,1,3,2,3,3,4,3,-,4,1,2,-,1,1,1,2,3,2,-,1,4,1,1,2,-,4,2,1,1,-,-,1,-,1,2,2,1,3,-,3,2,3,3,1,2,3,-,1,-,1,3,3,4,3,3,5,-,1,1,3,3,-,4,2,2,11,252,Kawlin,MMR005024
 Total,2405,2523,2234,2527,2571,2231,2509,2531,2513,2678,2784,2594,2865,2894,2811,2794,2544,2820,2785,2420,2868,2401,2611,2513,2259,2717,2372,2480,2521,2241,2859,2196,2336,2253,1943,2306,1890,2103,2172,1833,2179,1792,2184,1930,1973,2159,1723,1821,2003,1684,1947,1553,1735,1742,1401,1672,1298,1175,1142,896,1147,755,756,777,707,779,601,657,461,379,567,306,389,364,365,474,323,319,339,219,314,174,195,185,166,162,104,94,70,56,177,145297,Kawlin,MMR005024
