Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2918,3233,3370,3477,3651,3577,3939,4112,3438,3765,4064,3604,3647,3823,3405,3197,2805,2777,2835,2416,2904,2305,2291,2486,2496,3004,2536,2534,2758,2572,3032,2368,2569,2430,1991,2881,2058,2266,2271,2079,2429,1814,2341,2181,1909,2562,1971,1900,1737,1551,1980,1606,1539,1524,1385,1746,1244,1204,1227,1068,1461,931,1090,973,976,1125,790,801,575,471,762,399,503,422,350,643,281,273,297,200,285,141,123,121,107,153,60,63,38,43,160,167419,Pauk,MMR009021
 Yes - some difficulty,51,37,40,26,44,28,24,19,27,34,30,24,27,31,13,11,11,11,12,8,12,6,7,19,10,10,9,10,10,19,18,14,15,16,8,16,7,11,15,15,19,10,18,26,15,33,19,23,22,23,49,38,29,27,34,46,36,32,45,30,57,38,45,45,60,99,43,79,38,46,87,39,53,53,50,95,50,36,57,28,56,26,43,39,29,38,18,18,13,11,46,2764,Pauk,MMR009021
 Yes - a lot of difficulty,16,17,11,13,20,10,8,12,9,15,9,9,8,3,8,10,7,5,7,8,11,6,4,5,7,4,10,5,7,6,6,4,5,6,9,13,2,7,6,7,9,3,6,6,8,8,6,2,11,7,8,5,4,10,5,14,7,7,4,9,16,8,4,9,10,16,9,15,9,13,18,9,22,12,8,27,8,10,12,11,19,6,14,4,7,14,8,11,5,3,22,833,Pauk,MMR009021
 Yes - cannot remember/concentrate at all,16,1,7,8,6,6,8,15,5,11,5,14,8,8,7,7,2,5,5,9,7,1,2,4,6,6,3,3,8,3,6,5,9,8,7,5,2,2,2,3,5,2,3,2,2,4,2,4,2,4,9,3,2,4,8,7,3,5,5,3,3,5,7,4,6,3,3,6,2,5,11,2,4,5,2,13,7,7,9,4,6,9,5,3,5,11,2,1,4,1,19,498,Pauk,MMR009021
 Total,3001,3288,3428,3524,3721,3621,3979,4158,3479,3825,4108,3651,3690,3865,3433,3225,2825,2798,2859,2441,2934,2318,2304,2514,2519,3024,2558,2552,2783,2600,3062,2391,2598,2460,2015,2915,2069,2286,2294,2104,2462,1829,2368,2215,1934,2607,1998,1929,1772,1585,2046,1652,1574,1565,1432,1813,1290,1248,1281,1110,1537,982,1146,1031,1052,1243,845,901,624,535,878,449,582,492,410,778,346,326,375,243,366,182,185,167,148,216,88,93,60,58,247,171514,Pauk,MMR009021
