Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,628,644,830,956,974,948,1067,1070,1061,1061,1049,992,977,946,896,799,679,618,745,491,573,437,469,420,422,514,407,403,492,384,583,364,413,403,382,508,339,360,442,334,487,302,416,406,340,534,295,286,380,234,399,281,259,323,296,333,313,190,221,169,281,159,137,147,162,191,119,115,109,64,157,51,74,72,58,122,40,24,45,21,51,22,23,22,22,35,15,16,12,7,36,34953,Palauk(ST),MMR006007
 Yes - some difficulty,46,60,44,30,26,5,10,4,3,2,6,5,3,9,4,6,1,4,2,4,4,2,-,2,3,4,2,3,2,3,6,7,2,3,6,4,6,3,6,4,17,13,20,21,11,30,12,17,19,15,27,20,19,29,18,18,29,22,19,16,34,26,17,16,23,29,15,18,21,12,47,12,17,16,16,28,14,8,24,9,29,8,4,8,6,12,8,5,4,5,15,1244,Palauk(ST),MMR006007
 Yes - a lot of difficulty,31,2,4,7,1,-,-,-,-,1,4,3,2,2,2,4,3,1,2,1,3,-,1,2,-,-,2,-,-,3,2,1,-,1,3,2,1,-,1,1,2,-,1,-,2,1,2,1,1,-,2,-,1,3,2,2,3,5,2,3,2,2,-,2,2,6,3,3,4,3,2,1,2,4,-,3,2,3,4,2,9,-,4,6,4,4,2,2,-,-,11,218,Palauk(ST),MMR006007
 Yes - cannot remember/concentrate at all,9,3,3,3,1,3,5,4,3,4,2,-,-,4,2,1,1,3,3,2,1,-,1,2,2,1,1,3,-,1,1,4,-,2,-,2,1,-,1,-,4,-,1,1,-,-,2,1,1,1,3,1,1,1,1,1,1,3,3,1,-,1,1,-,1,1,1,1,1,-,2,-,-,1,1,1,-,1,3,1,-,1,1,1,-,3,1,-,1,2,6,139,Palauk(ST),MMR006007
 Total,714,709,881,996,1002,956,1082,1078,1067,1068,1061,1000,982,961,904,810,684,626,752,498,581,439,471,426,427,519,412,409,494,391,592,376,415,409,391,516,347,363,450,339,510,315,438,428,353,565,311,305,401,250,431,302,280,356,317,354,346,220,245,189,317,188,155,165,188,227,138,137,135,79,208,64,93,93,75,154,56,36,76,33,89,31,32,37,32,54,26,23,17,14,68,36554,Palauk(ST),MMR006007
