Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1509,1485,1504,1625,1793,1693,1723,1805,1590,1722,1820,1799,1984,2035,1925,1808,1642,1887,2055,1727,1989,1742,1849,1860,1595,2029,1648,1752,1876,1627,2109,1691,1742,1805,1615,2086,1641,1777,1931,1712,1893,1333,1940,1712,1446,1792,1528,1577,1713,1366,1740,1375,1446,1622,1305,1652,1359,1268,1307,1035,1475,1061,971,919,722,930,617,656,424,283,442,274,395,398,326,542,290,279,352,200,368,212,207,186,151,164,120,65,50,41,150,114886,Gyobingauk,MMR008014
 Yes - some difficulty,12,6,1,2,4,4,9,9,9,10,9,8,9,8,13,8,6,6,6,2,9,9,6,6,7,5,2,5,5,5,8,5,6,7,7,9,7,10,10,7,16,9,23,11,16,17,21,23,19,21,23,30,19,35,31,41,35,24,41,35,48,29,46,32,35,55,31,36,38,23,37,30,40,47,35,87,54,43,48,35,65,42,34,50,32,38,22,11,9,10,48,1956,Gyobingauk,MMR008014
 Yes - a lot of difficulty,8,3,1,-,1,5,3,1,4,6,4,1,2,6,2,6,3,2,3,3,1,10,3,3,2,5,1,2,1,-,4,1,2,3,3,6,2,2,4,1,6,1,1,2,1,1,2,1,3,1,4,3,5,4,2,4,2,5,3,4,7,6,1,3,3,6,2,5,6,-,8,6,5,4,6,13,6,10,7,8,12,9,7,10,8,8,7,6,6,2,19,381,Gyobingauk,MMR008014
 Yes - cannot remember/concentrate at all,10,4,-,3,4,1,2,-,2,3,5,5,4,6,4,7,-,-,3,4,4,4,1,-,-,5,4,5,2,2,2,2,1,-,2,2,1,2,2,4,1,1,4,2,2,1,-,-,3,1,1,1,-,1,1,1,1,2,4,-,3,3,2,3,4,4,1,1,-,1,2,3,2,2,3,2,1,1,2,2,3,1,2,3,7,1,6,-,-,1,5,210,Gyobingauk,MMR008014
 Total,1539,1498,1506,1630,1802,1703,1737,1815,1605,1741,1838,1813,1999,2055,1944,1829,1651,1895,2067,1736,2003,1765,1859,1869,1604,2044,1655,1764,1884,1634,2123,1699,1751,1815,1627,2103,1651,1791,1947,1724,1916,1344,1968,1727,1465,1811,1551,1601,1738,1389,1768,1409,1470,1662,1339,1698,1397,1299,1355,1074,1533,1099,1020,957,764,995,651,698,468,307,489,313,442,451,370,644,351,333,409,245,448,264,250,249,198,211,155,82,65,54,222,117433,Gyobingauk,MMR008014
