Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1709,1691,1770,1797,2086,1967,2052,2206,1989,2004,2290,2152,2345,2492,2246,2071,1908,2069,2133,1716,2303,1898,1861,1852,1725,2375,1727,2011,2080,1902,2447,1689,1894,1879,1474,2437,1477,1778,1897,1620,2152,1378,1840,1740,1286,2167,1319,1516,1342,1208,1746,1209,1229,1362,1149,1574,961,1178,1111,887,1263,885,962,951,691,1033,455,761,558,382,768,316,409,389,260,655,219,325,333,165,297,145,165,165,101,166,49,90,67,39,144,120581,Salingyi,MMR005018
 Yes - some difficulty,1,2,3,1,2,2,6,2,9,4,5,7,5,6,5,4,6,4,5,5,5,1,1,2,2,5,1,1,4,5,6,3,1,-,3,3,2,4,3,4,3,2,5,1,4,7,2,5,1,4,8,7,11,8,15,16,8,10,11,8,12,10,9,20,10,20,5,22,17,10,30,15,14,17,8,43,13,20,20,8,38,17,13,17,14,29,5,5,2,8,37,784,Salingyi,MMR005018
 Yes - a lot of difficulty,17,-,1,2,1,2,-,-,2,3,5,4,6,4,3,-,1,-,3,2,3,3,1,-,3,3,1,-,2,1,6,-,3,2,2,4,1,1,-,1,2,1,-,-,-,3,2,4,3,-,1,1,2,2,-,-,1,2,1,-,2,1,3,2,2,1,3,2,1,2,8,4,1,4,1,3,2,4,1,-,5,1,4,4,5,4,-,4,-,-,14,206,Salingyi,MMR005018
 Yes - cannot remember/concentrate at all,2,1,-,3,-,3,4,7,-,7,4,6,5,7,2,4,-,3,3,3,5,3,3,3,3,3,1,4,2,1,4,1,3,1,1,4,1,2,2,1,6,3,3,-,2,4,2,3,-,1,2,2,3,2,1,3,1,2,1,-,9,1,2,2,2,2,2,4,1,-,3,1,2,1,4,7,2,2,5,2,3,-,5,3,2,3,-,4,3,1,6,237,Salingyi,MMR005018
 Total,1729,1694,1774,1803,2089,1974,2062,2215,2000,2018,2304,2169,2361,2509,2256,2079,1915,2076,2144,1726,2316,1905,1866,1857,1733,2386,1730,2016,2088,1909,2463,1693,1901,1882,1480,2448,1481,1785,1902,1626,2163,1384,1848,1741,1292,2181,1325,1528,1346,1213,1757,1219,1245,1374,1165,1593,971,1192,1124,895,1286,897,976,975,705,1056,465,789,577,394,809,336,426,411,273,708,236,351,359,175,343,163,187,189,122,202,54,103,72,48,201,121808,Salingyi,MMR005018
