Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,870,755,790,886,897,839,796,777,782,818,903,707,829,747,690,745,630,648,749,522,852,503,591,570,505,625,410,385,534,403,659,325,374,339,329,554,348,349,417,287,628,257,375,381,272,547,331,283,357,217,549,234,260,297,255,352,284,218,219,132,364,107,108,99,122,160,66,79,57,27,110,23,49,47,32,77,37,24,40,12,47,12,17,10,10,22,14,7,8,4,29,33007,Maukme`,MMR014020
 Yes - some difficulty,5,5,8,10,9,5,8,10,8,10,14,8,6,5,4,2,4,2,6,2,2,3,-,5,3,3,4,3,5,4,8,2,5,1,1,11,3,2,6,2,10,7,5,3,-,15,4,5,6,5,21,-,5,6,2,13,6,7,8,4,25,1,4,2,4,10,1,4,-,3,21,3,5,4,3,10,7,3,8,1,12,2,4,1,5,3,2,1,-,-,4,489,Maukme`,MMR014020
 Yes - a lot of difficulty,3,4,3,-,2,1,1,1,1,-,-,-,1,-,-,2,-,2,1,3,-,1,3,3,1,5,-,-,2,1,7,-,1,-,-,7,1,1,4,2,8,-,3,2,-,7,1,2,4,3,8,1,2,1,-,6,2,1,1,-,8,-,2,1,1,2,2,-,1,2,11,-,2,-,2,1,3,1,2,-,12,-,1,2,2,2,2,-,3,1,10,192,Maukme`,MMR014020
 Yes - cannot remember/concentrate at all,-,-,1,1,-,-,1,2,1,1,-,2,1,1,3,-,1,2,1,-,4,-,1,-,1,-,-,-,1,1,6,-,1,2,2,4,2,1,1,3,7,-,1,4,-,7,1,1,3,3,8,1,1,-,1,3,-,-,-,1,4,1,1,2,-,-,1,-,-,1,6,1,-,-,1,2,-,-,2,-,4,-,1,-,1,1,-,-,1,-,2,122,Maukme`,MMR014020
 Total,878,764,802,897,908,845,806,790,792,829,917,717,837,753,697,749,635,654,757,527,858,507,595,578,510,633,414,388,542,409,680,327,381,342,332,576,354,353,428,294,653,264,384,390,272,576,337,291,370,228,586,236,268,304,258,374,292,226,228,137,401,109,115,104,127,172,70,83,58,33,148,27,56,51,38,90,47,28,52,13,75,14,23,13,18,28,18,8,12,5,45,33810,Maukme`,MMR014020
