Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3355,3361,3800,3776,4022,3696,4199,4595,3875,4162,4540,4330,4254,4318,3939,3639,2830,3050,3238,2739,3309,2659,2763,2879,2598,3441,2539,3053,3091,2760,3913,2726,3180,2923,2538,3917,2570,2908,3078,2532,3686,2253,2858,2638,2291,3724,2394,2327,2256,1831,2865,1740,2005,2031,1830,2525,1535,1710,1605,1402,2374,1306,1551,1381,1390,1965,1119,1281,961,724,1567,517,697,621,603,1129,444,446,483,287,647,207,271,220,213,317,110,106,72,65,259,203934,Natmauk,MMR009006
 Yes - some difficulty,17,19,10,11,11,6,10,20,11,12,19,15,19,13,10,11,7,7,11,6,9,7,8,7,9,7,7,11,8,5,18,6,13,9,9,21,7,14,11,9,20,11,12,13,10,22,15,14,13,14,22,15,19,21,23,36,27,31,30,19,72,29,39,34,39,74,29,46,34,29,112,22,54,56,48,87,47,38,48,27,115,27,49,44,45,54,21,18,14,8,84,2270,Natmauk,MMR009006
 Yes - a lot of difficulty,6,3,1,1,6,3,3,9,8,8,6,6,2,9,6,6,1,3,2,6,4,1,1,4,2,5,1,2,2,2,11,1,5,2,1,8,2,3,6,3,5,2,2,1,-,2,1,8,7,3,4,2,2,4,6,8,3,5,1,1,10,2,5,3,4,8,4,1,7,3,10,3,3,3,8,13,2,6,4,6,15,6,7,7,9,6,4,8,4,3,25,427,Natmauk,MMR009006
 Yes - cannot remember/concentrate at all,7,-,4,4,3,5,6,6,6,11,7,7,7,7,5,5,2,1,4,4,10,6,2,2,4,4,1,5,4,-,4,-,2,4,2,9,2,2,7,3,4,1,3,1,3,3,2,2,2,3,3,-,3,2,1,2,-,2,5,1,8,2,4,2,1,5,3,2,3,1,7,2,5,4,4,7,5,3,6,4,12,1,8,3,6,10,2,4,-,-,24,365,Natmauk,MMR009006
 Total,3385,3383,3815,3792,4042,3710,4218,4630,3900,4193,4572,4358,4282,4347,3960,3661,2840,3061,3255,2755,3332,2673,2774,2892,2613,3457,2548,3071,3105,2767,3946,2733,3200,2938,2550,3955,2581,2927,3102,2547,3715,2267,2875,2653,2304,3751,2412,2351,2278,1851,2894,1757,2029,2058,1860,2571,1565,1748,1641,1423,2464,1339,1599,1420,1434,2052,1155,1330,1005,757,1696,544,759,684,663,1236,498,493,541,324,789,241,335,274,273,387,137,136,90,76,392,206996,Natmauk,MMR009006
