Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1425,1113,1425,1533,1472,1463,1418,1401,1279,1221,1267,1209,1230,1248,1224,1030,1065,1016,925,821,963,597,681,696,688,622,563,524,563,418,728,393,498,488,483,622,479,438,523,418,749,423,507,518,491,610,486,422,524,413,716,363,394,378,419,445,400,295,347,215,468,205,216,215,214,276,167,181,150,104,256,102,97,102,105,100,67,43,77,50,107,22,36,41,43,28,23,9,8,10,82,48889,Thantlang,MMR004003
 Yes - some difficulty,11,15,6,8,6,6,5,2,5,2,2,2,2,4,8,2,2,4,7,6,4,3,5,9,2,6,6,8,10,9,8,4,7,3,5,7,5,4,-,2,15,5,5,10,10,23,6,7,16,8,27,7,13,10,15,17,10,11,11,9,26,7,10,11,14,22,10,10,17,12,34,13,8,18,19,25,5,7,18,7,25,7,7,11,7,8,5,2,2,1,32,847,Thantlang,MMR004003
 Yes - a lot of difficulty,9,5,4,3,4,3,6,5,-,2,2,2,2,-,3,5,2,2,6,2,8,-,4,5,6,2,2,3,4,6,5,-,3,3,1,4,2,2,2,1,5,2,-,4,3,5,1,4,4,2,10,3,8,2,1,7,5,2,1,2,5,2,-,5,3,8,4,3,5,2,13,1,3,12,10,9,7,5,6,7,9,-,2,8,6,2,4,2,2,-,23,369,Thantlang,MMR004003
 Yes - cannot remember/concentrate at all,15,3,3,1,3,5,2,6,2,2,1,2,3,2,2,2,2,2,5,2,5,-,-,7,2,10,5,2,13,3,11,3,3,1,1,6,3,2,3,-,2,-,2,3,4,6,4,2,3,3,8,2,1,3,2,-,5,2,2,-,4,-,2,1,2,1,2,-,1,-,4,1,5,2,1,5,3,1,1,2,6,1,1,3,1,5,-,3,1,3,8,269,Thantlang,MMR004003
 Total,1460,1136,1438,1545,1485,1477,1431,1414,1286,1227,1272,1215,1237,1254,1237,1039,1071,1024,943,831,980,600,690,717,698,640,576,537,590,436,752,400,511,495,490,639,489,446,528,421,771,430,514,535,508,644,497,435,547,426,761,375,416,393,437,469,420,310,361,226,503,214,228,232,233,307,183,194,173,118,307,117,113,134,135,139,82,56,102,66,147,30,46,63,57,43,32,16,13,14,145,50374,Thantlang,MMR004003
