Disability_remembering,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,821,844,999,1064,1236,1155,1162,1218,1286,1217,1287,1052,1200,1256,1157,1000,981,1005,1165,915,1021,770,857,837,836,1050,801,827,920,854,1160,736,847,783,733,898,768,699,785,612,850,522,662,632,565,705,501,451,503,382,651,394,437,475,426,500,453,293,390,240,445,205,198,205,194,255,168,176,163,111,189,76,89,87,80,123,81,47,59,41,77,29,27,21,23,22,14,13,8,13,49,52134,Mansi,MMR001013
 Yes - some difficulty,2,7,3,2,3,1,7,3,2,5,7,1,3,6,5,4,-,4,2,4,4,2,3,3,6,1,6,4,4,4,5,2,6,3,5,8,5,2,5,2,8,4,5,6,4,5,7,7,5,5,11,7,10,6,10,5,5,5,12,7,12,10,11,10,7,21,4,8,7,5,26,11,14,14,7,12,6,7,5,7,13,2,6,3,6,13,9,1,-,2,11,555,Mansi,MMR001013
 Yes - a lot of difficulty,5,2,4,1,1,-,1,5,2,4,3,2,5,-,-,2,3,3,2,1,2,2,3,-,2,4,1,3,-,1,3,1,-,1,1,2,1,-,-,-,2,1,-,-,-,-,-,1,1,-,2,-,1,-,2,4,1,4,-,1,3,1,2,1,-,1,-,-,1,1,11,1,1,3,1,7,7,3,2,1,6,-,-,2,4,3,2,-,2,-,6,165,Mansi,MMR001013
 Yes - cannot remember/concentrate at all,3,-,-,-,2,2,1,3,2,2,3,-,1,2,1,1,1,2,2,1,-,-,2,1,-,1,-,1,1,2,2,1,2,1,-,2,-,-,3,1,1,2,1,-,-,-,-,2,1,1,3,1,-,1,1,1,2,2,-,-,1,-,-,1,-,1,1,-,-,1,1,1,1,-,1,2,1,2,-,-,3,1,1,-,-,1,-,-,-,-,3,91,Mansi,MMR001013
 Total,831,853,1006,1067,1242,1158,1171,1229,1292,1228,1300,1055,1209,1264,1163,1007,985,1014,1171,921,1027,774,865,841,844,1056,808,835,925,861,1170,740,855,788,739,910,774,701,793,615,861,529,668,638,569,710,508,461,510,388,667,402,448,482,439,510,461,304,402,248,461,216,211,217,201,278,173,184,171,118,227,89,105,104,89,144,95,59,66,49,99,32,34,26,33,39,25,14,10,15,69,52945,Mansi,MMR001013
