Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,-,346,346,Manhero(ST),MMR015009
 Rural,-,1297,1297,Manhero(ST),MMR015009
 Total,-,1643,1643,Manhero(ST),MMR015009
