Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,138,1642,1780,Singaing,MMR010014
 Rural,10046,21753,31799,Singaing,MMR010014
 Total,10184,23395,33579,Singaing,MMR010014
