Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,15,1308,1323,Minephyat,MMR016010
 Rural,373,4469,4842,Minephyat,MMR016010
 Total,388,5777,6165,Minephyat,MMR016010
