Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,38,739,777,Ahmar(ST),MMR017023
 Rural,1927,25082,27009,Ahmar(ST),MMR017023
 Total,1965,25821,27786,Ahmar(ST),MMR017023
