Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,98,329,427,Tontar(ST),MMR016007
 Rural,909,1358,2267,Tontar(ST),MMR016007
 Total,1007,1687,2694,Tontar(ST),MMR016007
