Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,1160,4742,5902,Paung,MMR011008
 Rural,7134,30690,37824,Paung,MMR011008
 Total,8294,35432,43726,Paung,MMR011008
