Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,320,10472,10792,Mudon,MMR011005
 Rural,2873,25647,28520,Mudon,MMR011005
 Total,3193,36119,39312,Mudon,MMR011005
