Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,197,103610,103807,Hlinethaya,MMR013008
 Rural,186,44718,44904,Hlinethaya,MMR013008
 Total,383,148328,148711,Hlinethaya,MMR013008
