Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,53,699,752,Minenaung(ST),MMR014015
 Rural,1586,3473,5059,Minenaung(ST),MMR014015
 Total,1639,4172,5811,Minenaung(ST),MMR014015
