Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,29,126,155,Naphang,MMR015006
 Rural,6328,9991,16319,Naphang,MMR015006
 Total,6357,10117,16474,Naphang,MMR015006
