Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,262,452,714,Mabane,MMR015018
 Rural,5170,2748,7918,Mabane,MMR015018
 Total,5432,3200,8632,Mabane,MMR015018
