Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,93,3456,3549,Hainggyikyun(ST),MMR017004
 Rural,3731,21795,25526,Hainggyikyun(ST),MMR017004
 Total,3824,25251,29075,Hainggyikyun(ST),MMR017004
