Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,206,1526,1732,Sinku,MMR010010
 Rural,12530,20271,32801,Sinku,MMR010010
 Total,12736,21797,34533,Sinku,MMR010010
