Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,53,621,674,Homane(ST),MMR014018
 Rural,129,357,486,Homane(ST),MMR014018
 Total,182,978,1160,Homane(ST),MMR014018
