Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,114,24608,24722,Zabuthiri,MMR018002
 Rural,73,1525,1598,Zabuthiri,MMR018002
 Total,187,26133,26320,Zabuthiri,MMR018002
