Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,111,708,819,Shwethaungyan(ST),MMR017001
 Rural,1447,7915,9362,Shwethaungyan(ST),MMR017001
 Total,1558,8623,10181,Shwethaungyan(ST),MMR017001
