Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,448,1345,1793,Tagaung,MMR010012
 Rural,3308,2291,5599,Tagaung,MMR010012
 Total,3756,3636,7392,Tagaung,MMR010012
