Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,34,745,779,Manton,MMR015019
 Rural,1204,5700,6904,Manton,MMR015019
 Total,1238,6445,7683,Manton,MMR015019
