Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,483,1353,1836,Indaw(ST),MMR014008
 Rural,2006,4308,6314,Indaw(ST),MMR014008
 Total,2489,5661,8150,Indaw(ST),MMR014008
