Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,13,765,778,Khawzar,MMR011006
 Rural,140,3900,4040,Khawzar,MMR011006
 Total,153,4665,4818,Khawzar,MMR011006
